DATE,TENOR,OFFER,BID
5/2/2023,1 - Month,21.04,21.54
5/2/2023,3 - Month,21.8,22.05
5/2/2023,6 - Month,21.81,22.06
5/2/2023,9 - Month,21.8,22.3
5/2/2023,1 - Year,21.81,22.31
6/27/2023,1 - Week,21.89,22.39
6/27/2023,2 - Week,21.97,22.47
6/27/2023,1 - Month,22.04,22.54
6/27/2023,3 - Month,22.66,22.91
6/27/2023,6 - Month,22.72,22.97
6/27/2023,9 - Month,22.75,23.25
6/27/2023,1 - Year,22.77,23.27
6/26/2023,1 - Week,20.6,21.1
6/26/2023,2 - Week,20.79,21.29
6/26/2023,1 - Month,20.99,21.49
6/26/2023,3 - Month,21.79,22.04
6/26/2023,6 - Month,21.84,22.09
6/26/2023,9 - Month,21.86,22.36
6/26/2023,1 - Year,21.87,22.37
6/23/2023,1 - Week,20.75,21.25
6/23/2023,2 - Week,20.87,21.37
6/23/2023,1 - Month,21.12,21.62
6/23/2023,3 - Month,21.84,22.09
6/23/2023,6 - Month,21.88,22.13
6/23/2023,9 - Month,21.88,22.38
6/23/2023,1 - Year,21.89,22.39
6/22/2023,1 - Week,20.79,21.29
6/22/2023,2 - Week,20.93,21.43
6/22/2023,1 - Month,21.18,21.68
6/22/2023,3 - Month,21.88,22.13
6/22/2023,6 - Month,21.9,22.15
6/22/2023,9 - Month,21.89,22.39
6/22/2023,1 - Year,21.9,22.4
6/21/2023,1 - Week,20.76,21.26
6/21/2023,2 - Week,20.88,21.38
6/21/2023,1 - Month,21.15,21.65
6/21/2023,3 - Month,21.87,22.12
6/21/2023,6 - Month,21.89,22.14
6/21/2023,9 - Month,21.88,22.38
6/21/2023,1 - Year,21.89,22.39
6/20/2023,1 - Week,20.96,21.46
6/20/2023,2 - Week,21.02,21.52
6/20/2023,1 - Month,21.17,21.67
6/20/2023,3 - Month,21.88,22.13
6/20/2023,6 - Month,21.91,22.16
6/20/2023,9 - Month,21.9,22.4
6/20/2023,1 - Year,21.91,22.41
6/19/2023,1 - Week,20.86,21.36
6/19/2023,2 - Week,20.96,21.46
6/19/2023,1 - Month,21.15,21.65
6/19/2023,3 - Month,21.85,22.1
6/19/2023,6 - Month,21.88,22.13
6/19/2023,9 - Month,21.86,22.36
6/19/2023,1 - Year,21.86,22.36
6/16/2023,1 - Week,20.82,21.32
6/16/2023,2 - Week,20.93,21.43
6/16/2023,1 - Month,21.08,21.58
6/16/2023,3 - Month,21.82,22.07
6/16/2023,6 - Month,21.87,22.12
6/16/2023,9 - Month,21.84,22.34
6/16/2023,1 - Year,21.86,22.36
6/15/2023,1 - Week,20.82,21.32
6/15/2023,2 - Week,20.93,21.43
6/15/2023,1 - Month,21.08,21.58
6/15/2023,3 - Month,21.82,22.07
6/15/2023,6 - Month,21.87,22.12
6/15/2023,9 - Month,21.84,22.34
6/15/2023,1 - Year,21.86,22.36
6/14/2023,1 - Week,20.74,21.24
6/14/2023,2 - Week,20.88,21.38
6/14/2023,1 - Month,21.09,21.59
6/14/2023,3 - Month,21.78,22.03
6/14/2023,6 - Month,21.83,22.08
6/14/2023,9 - Month,21.84,22.34
6/14/2023,1 - Year,21.86,22.36
6/13/2023,1 - Week,20.77,21.27
6/13/2023,2 - Week,20.91,21.41
6/13/2023,1 - Month,21.08,21.58
6/13/2023,3 - Month,21.81,22.06
6/13/2023,6 - Month,21.86,22.11
6/13/2023,9 - Month,21.86,22.36
6/13/2023,1 - Year,21.87,22.37
6/12/2023,1 - Week,20.84,21.34
6/12/2023,2 - Week,20.97,21.47
6/12/2023,1 - Month,21.1,21.6
6/12/2023,3 - Month,21.83,22.08
6/12/2023,6 - Month,21.88,22.13
6/12/2023,9 - Month,21.89,22.39
6/12/2023,1 - Year,21.9,22.4
6/9/2023,1 - Week,20.78,21.28
6/9/2023,2 - Week,20.91,21.41
6/9/2023,1 - Month,21.07,21.57
6/9/2023,3 - Month,21.8,22.05
6/9/2023,6 - Month,21.87,22.12
6/9/2023,9 - Month,21.88,22.38
6/9/2023,1 - Year,21.89,22.39
6/8/2023,1 - Week,20.68,21.18
6/8/2023,2 - Week,20.84,21.34
6/8/2023,1 - Month,21.03,21.53
6/8/2023,3 - Month,21.77,22.02
6/8/2023,6 - Month,21.85,22.1
6/8/2023,9 - Month,21.88,22.38
6/8/2023,1 - Year,21.89,22.39
6/7/2023,1 - Week,20.67,21.17
6/7/2023,2 - Week,20.82,21.32
6/7/2023,1 - Month,21.05,21.55
6/7/2023,3 - Month,21.75,22
6/7/2023,6 - Month,21.84,22.09
6/7/2023,9 - Month,21.86,22.36
6/7/2023,1 - Year,21.88,22.38
6/6/2023,1 - Week,20.68,21.18
6/6/2023,2 - Week,20.83,21.33
6/6/2023,1 - Month,21.04,21.54
6/6/2023,3 - Month,21.77,22.02
6/6/2023,6 - Month,21.82,22.07
6/6/2023,9 - Month,21.85,22.35
6/6/2023,1 - Year,21.86,22.36
6/5/2023,1 - Week,20.65,21.15
6/5/2023,2 - Week,20.81,21.31
6/5/2023,1 - Month,21.06,21.56
6/5/2023,3 - Month,21.84,22.09
6/5/2023,6 - Month,21.89,22.14
6/5/2023,9 - Month,21.9,22.4
6/5/2023,1 - Year,21.91,22.41
6/2/2023,1 - Week,20.81,21.31
6/2/2023,2 - Week,20.91,21.41
6/2/2023,1 - Month,21.17,21.67
6/2/2023,3 - Month,21.89,22.14
6/2/2023,6 - Month,21.92,22.17
6/2/2023,9 - Month,21.92,22.42
6/2/2023,1 - Year,21.92,22.42
6/1/2023,1 - Week,20.9,21.4
6/1/2023,2 - Week,20.99,21.49
6/1/2023,1 - Month,21.2,21.7
6/1/2023,3 - Month,21.92,22.17
6/1/2023,6 - Month,21.92,22.17
